id,tipo,planeado,fecha_entrada,fecha_salida,tiempo_ciclo_dias,expedite,bloqueado_dias
CAD-1124,Incidente,No,2026-07-07,2026-07-08,1,No,0
CAD-1130,Evolutivo,Si,2026-07-07,2026-07-09,2,No,2
CAD-1062,Cumplimiento,Si,2026-07-07,2026-08-06,30,No,0
CAD-1125,Interoperabilidad,No,2026-07-08,2026-08-12,35,No,0
CAD-1023,Evolutivo,Si,2026-07-08,2026-07-12,4,No,0
CAD-1101,Interoperabilidad,No,2026-07-09,2026-07-27,18,No,3
CAD-1000,Incidente,No,2026-07-10,2026-07-12,2,No,1
CAD-1107,Incidente,No,2026-07-11,2026-07-14,3,No,0
CAD-1015,Incidente,No,2026-07-11,2026-07-12,1,No,0
CAD-1126,Evolutivo,Si,2026-07-12,2026-07-16,4,No,0
CAD-1058,Interoperabilidad,No,2026-07-13,2026-08-20,38,No,0
CAD-1005,Evolutivo,Si,2026-07-14,2026-07-15,1,No,0
CAD-1069,Incidente,No,2026-07-14,2026-07-18,4,Si,0
CAD-1021,Evolutivo,Si,2026-07-14,2026-07-24,10,No,2
CAD-1071,Incidente,No,2026-07-15,2026-07-16,1,No,0
CAD-1016,Incidente,No,2026-07-15,2026-07-18,3,Si,0
CAD-1065,Evolutivo,Si,2026-07-15,2026-07-22,7,No,0
CAD-1017,Incidente,No,2026-07-16,2026-07-19,3,No,3
CAD-1064,Evolutivo,Si,2026-07-16,2026-07-17,1,No,0
CAD-1036,Interoperabilidad,No,2026-07-16,2026-08-05,20,No,0
CAD-1028,Cumplimiento,Si,2026-07-16,2026-07-25,9,No,0
CAD-1128,Evolutivo,Si,2026-07-16,2026-07-21,5,No,2
CAD-1121,Interoperabilidad,No,2026-07-16,2026-07-25,9,No,0
CAD-1059,Cumplimiento,Si,2026-07-17,2026-07-22,5,No,0
CAD-1056,Evolutivo,Si,2026-07-17,2026-07-21,4,No,0
CAD-1038,Evolutivo,Si,2026-07-17,2026-07-19,2,No,0
CAD-1019,Evolutivo,Si,2026-07-17,2026-08-01,15,No,0
CAD-1094,Incidente,No,2026-07-17,2026-07-18,1,No,1
CAD-1072,Cumplimiento,Si,2026-07-18,2026-07-30,12,No,0
